"","formula","McFadden R2"
"1","`class` ~ `-2-3-` + `dip_y` + `Dist(2, 7)` + `NPA_1`",0.577
"2","`class` ~ `-2-3-` + `dip_y` + `NPA_1` + `NPA_3`",0.577
"3","`class` ~ `dip_y` + `NPA_3` + `diff 1 2` + `L`",0.57
"4","`class` ~ `dip_y` + `Dist(2, 7)` + `NPA_3` + `diff 1 2`",0.567
"5","`class` ~ `-2-3-` + `dip_y` + `NPA_1` + `NPA_2`",0.557
"6","`class` ~ `-2-3-` + `dip_y` + `Dist(2, 7)` + `diff 1 2`",0.555
"7","`class` ~ `-2-7-` + `dip_y` + `NPA_1` + `NPA_3`",0.555
"8","`class` ~ `dip_y` + `NPA_1` + `NPA_3` + `diff 2 7`",0.553
"9","`class` ~ `dip_y` + `NPA_3` + `NPA_7` + `diff 1 2`",0.551
"10","`class` ~ `-2-3-` + `Total` + `NPA_1` + `NPA_3`",0.549
