"","formula","McFadden R2"
"1","`class` ~ `diff_9_13` + `Total_1` + `Dist(9, 13)` + `Aniso.Polar`",0.79
"2","`class` ~ `B1_2` + `B1_3` + `diff_10_Metalla` + `Dist(3, 9)`",0.778
"3","`class` ~ `diff_3_4` + `diff_10_Metalla` + `Dist(9, 13)` + `Dist(3, 9)`",0.764
"4","`class` ~ `diff_3_9` + `diff_9_Metalla` + `dip_z_1` + `Dist(3, 9)`",0.759
"5","`class` ~ `NPA_13` + `Total_1` + `Dist(9, 13)` + `Aniso.Polar`",0.753
"6","`class` ~ `NPA_Metallic` + `diff_3_4` + `Dist(9, 13)` + `Dist(3, 9)`",0.753
"7","`class` ~ `B1_2` + `diff_9_13` + `diff_10_Metalla` + `Dist(9, 13)`",0.75
"8","`class` ~ `B1_1` + `NPA_13` + `diff_10_Metalla` + `Dist(9, 13)`",0.749
"9","`class` ~ `diff_3_4` + `diff_10_Metalla` + `dip_y_1` + `Dist(3, 9)`",0.749
"10","`class` ~ `B1_2` + `NPA_13` + `diff_10_Metalla` + `Dist(9, 13)`",0.748
